team
Grasshopper Club Zürich
Freilos
Vipers InnerSchwyz
Kriens Unihockey
Bern Capitals Ost
UHC Kerzers-Müntschemier
Regazzi Verbano UH Gordola
Zuger Highlands
Bülach Floorball
UHC Winterthur United
Ticino Unihockey
UHC Fully
Bassersdorf Nürensdorf
UHC Elgg
Kloten-Dietlikon Jets
UHC La Chaux-de-Fonds
Barracudas Oberthurgau
UHC Schaan
UHC Grünenmatt
United Toggenburg Bazenheid
R.Z. Merenschwand
STV Spreitenbach
UHC JW Sursee 86
Unihockey Ruswil II
Power Wave Buochs
UHC Astros Rotkreuz
Floorball Köniz
SV Wiler-Ersigen
Sharks Münchenstein
Wild Goose
Unihockey Fricktal
UHC Bremgarten
Unihockey Basel Regio
Unihockey Schüpbach
Glattal Falcons
emotion Hinwil-Tann
UHT Eggiwil
Unihockey Schüpfheim
Comet Cheseaux
LUC Floorball Epalinges
Floorball Thurgau
UHU Bern
UHC Obersiggenthal
TV Würenlos II
UHC Sarganserland
UHCevi Gossau
Lions Konolfingen
Aergera Giffers
SV Waldenburg Eagles
Virtus Wohlen
UHC Herisau
Jona-Uznach Flames
Zug United
HC Rychenberg Winterthur
UHC Lokomotive Stäfa
Unihockey Limmattal
UHC Gruyeres
UHC Jongny
UHC Thun
UHC Eschenbach
UHC R. Grabs-Werdenberg
Floorball Fribourg
Pfannenstiel Egg
Unihockey Rheintal Gators
UHC Jonschwil Vipers
Ad Astra Obwalden
Oberland 84 Interlaken
SC Laupen
I. M. Davos-Klosters
Black Barons Wil
TSV Unihockey Deitingen
TV Mellingen
THS Adliswil II
FB Riders DBR
Hornets R.Moosseedorf Worblental
UHC W.W. Schüpfen-Busswil
UHC Alligator Malans
UHC Uster
Bern Capitals
UHT Uetigen
UHC Flamatt-Sense
UHC Burgdorf
Unihockey Aargau United
Team Aarau
Tigers Langnau
Racoons Herzogenbuchsee
UHC Laupen ZH
Unihockey Langenthal Aarwangen
UHC Lok Reinach
UH Red Lions Frauenfeld
TSV Mörschwil Dragons
Chur Unihockey
Stadel-Niederhasli
Zürisee Unihockey ZKH
Red Devils March-Höfe
UHC Lugano
emotion weinfelden
UH Appenzell
UHC Tigers H.-T.
UHC Lenzburg
Corcelles-Cormondrèche
UHC White Storm Oron-la-Ville
Waldkirch-St. Gallen
Baden-Birmenstorf
UHC Riehen
Eagles UHC-Aigle
Floorball Heiden
Zürich Oberland Pumas
UHC Tuggen-Reichenburg
UC Yverdon
UH Zulgtal Eagles
Biberist Aktiv
UHT Tornados Frutigen
UHC Wängi
Nesslau Sharks
UHC Biel-Seeland
UHC Meiersmaad
UHC B.S. Embrach
UHC Zuzwil-Wuppenau
UHC Mutschellen
UHC Genève II
ESV Eschenbach
UHC Tägerwilen
Floorball Uri
Einhorn Hünenberg
Kadetten UH Schaffhausen
piranha chur
Unihockey Gurmels
piranha academy regio
Unihockey Berner Oberland
Red Ants Winterthur
UC Moutier
Gürbetal RK Belp
Wizards Bern Burgdorf
TSV Fortitudo Gossau
Black Creek Schwarzenbach
White Indians Inwil-Baar
SV Krauchthal
Skorpion Emmental Zollbrück
Floorball Zurich Lioness
Chilis Rümlang-Regensdorf
UH Lejon Zäziwil
Floorball Köniz III
UHC Genève III
UHC Bevaix
Rämi Floorball Zürich
FB Riders DBR II
LC Rapperswil-Jona
Uesslingen Wild Wings
White Horse Lengnau
Chur Unihockey II
Reinacher Sportverein
Red Taurus Wislikofen
UHC Pinguin Schötz
Einhorn Hünenberg III
UHC Sierre II
UHC Chermignon
TV Liestal
Schatrine Bellach
UHC Kleindöttingen
UHC F.P. Niederwil
TV Wild Dogs Sissach
FBC Känerkinden 03
Froni Fighters Mollis
UHC Kreuzlingen
UHC Winterthur United III
Glattal Falcons IV
UHC Kappelen
UHC Naters-Brig
Bern Capitals Ost III
UHC Cornaux
UHT Semsales
TV Birrhard
SC Oensingen Lions
STV Giswil Dragons
UHC Tuggen-Reichenburg II
UHC Rappi Tigers
UHC La Brévine
Raptors Vevey
UC Tramelan
UHC Löwen Bürglen
UHC Churwalden-Malix
Unihockey Rheintal Gators IV
Greenlight Richterswil II
UHC Wild Pigs
Blau-Gelb Cazis
UHC Juravipers
Unihockey Derendingen
UHC Wolhusen
Unihockey TV Grosswangen
Team Flamingo
UHC Walkringen
TV Nunningen
STV Murgenthal
SC-Rüeggisberg
STV Herisau
Unihockey Mümliswil
UHC Uster IV
Traktor Buchberg-Rüdl.
UH Zulgtal Eagles III
UHC Seedorf BE
UHC T.S. Unterkulm
UHC Wehntal Regensdorf
Stadel-Niederhasli II
UHC Phantoms Rafzerfeld
UHC Kerzers-Müntschemier II
UHC Flamatt-Sense II
UC Moutier II
Corcelles-Cormondrèche III
Unihockey Tösstal
UHC S-G Wetzikon II
Racoons Herzogenbuchsee II
Unihockey Fricktal II
UHC Lenzburg II
DT Bäretswil
Power Wave Buochs III
Eintracht Beromünster
Unihockey Club Payerne
St-Maurice Pécaporés
STV Berg II
UHC Flyers Widnau
SV Wiler-Ersigen II
UH Eagles Sementina
SAM Massagno UH II
Hornets R.Moosseedorf Worblental III
UHC S.D. Heimberg
UHC Lokomotive Stäfa II
Red Devils March-Höfe IV
UHC la Ferrière
UHC Belmont
UHC Nuglar United
UHC Guggisberg
UHT Arni III
Team Aarau IV
Blue Sharks Waltenschwil
Pfannenstiel Egg IV
UH Red Lions Frauenfeld III
TV Bubendorf
UHC B.S. Embrach II
UHC Begnins
Black Roses Rappi
Nesslau Sharks II
UHC Meiersmaad II
UHC Basel United II
UHC KTV Muotathal
Blue Mavericks Hüttwilen
Unihockey Wangen bei Olten
UH Vallemaggia
Floorball Albis II
Yetis Hildisrieden
UHT Uetigen III
KTV Laupersdorf II
UHC Mutschellen II
UHC JW Sursee 86 III
UHC Bulldogs Ehrendingen
UHC Obersiggenthal II
UHT Schangnau
TV Würenlos
Team Aarau II
SAM Massagno UH
Kloten-Dietlikon Jets III
Floorball Albis
UHC Oekingen
Unihockey Ruswil
UHC RW Erlenbach
UHC Basel United
UHC Tigers H.-T. II
UH Rüttenen
UHC Red Devils Root
Unihockey Berner Oberland III
Skorpion Emmental Zollbrück III
Le Rouge et Or du Locle
Pfannenstiel Egg II
Wallisellen-Kloten Wings
UHT Krattigen
Flippers-Tanachin S. Gottardo
UH Gais
Floorball Köniz Bern
Unihockey Mittelland
Griffins Muttenz-Pratteln
Hurricanes Glarnerland Weesen
UHC S-G Wetzikon
HC Weggis-Küssnacht
STV Berg
UHT Arni
UHC B.A. Hägendorf-Rickenbach
Gladiators Münsingen
UHC Wyland
Powermäuse Brugg
Raptors Vevey I
Calanda Flyers Trimmis
UHC Bowil
Crusaders 95 Zürich
UHC Frenkendorf-Füllinsdorf
Floorball Obwalden
UHC Laupen ZH II
Biberist Aktiv II
UHC Mönchaltorf
Wadin Knights Wädenswil
Sion Unihockey II
UHC Black Panthers Zizers
UHC Villaraboud
Lokomotiv UC Ste-Croix
RHC Untersiggenthal
Bohrmaschine Zeiningen
FBC Barons Zürich
UHC Bremgarten II
UHU St. Gallen
Unihockey Fricktal III
Alterswil-St. Antoni
UHC Selzach
SV ALPHA Trimbach
HC Rychenberg Winterthur III
LUC Floorball Epalinges III
Floorball Köniz Bern III
UHC Seedorf BE II
Unihockey Lohn
UHC Lommiswil
UHC Mont-sur-Rolle
TSV Mörschwil Dragons II
Vipers InnerSchwyz III
UHC Sarganserland I
Spiders St. Margrethen
UHC Burgdorf III
Fleurier Unihockey Club
TV Flüh-Hofstetten-Rodersd.
TV Lüterkofen
UHC Speicher Bears
Kestenholz-Niederbuchsiten
Pfannenstiel Egg III
UHC Sierre
Kloten-Dietlikon Jets I
UH Zulgtal Eagles II
UH Appenzell II
UHC Treyvaux Gladiators
Legion Wasserschloss
Wild Dogs Sissach
WASA St. Gallen
UHC Wolhusen II
EFS United
UHT Rapperswil-Jona
UHCevi Gossau IV
Red Lions Frauenfeld
Wolves Züri Unterland
Lions Meilen Uetikon
Visper Lions
Unihockey Riviera
UHC Linden
UHC Martigny
Richenthal Cannibals
TV Wabern
Red Lions Frauenfeld III
ESV Rätia
UHC Pieterlen
Unihockey am Greifensee
